subset_size,accuracy_based_best_weight_decay,best_accuracy,best_loss
40,3.4304692863149195e-08,0.6075,0.07859160829335451
80,1e-09,0.5725,0.041524867191910744
120,3.199267137797384e-07,0.5691666666666666,0.02819826908409595
160,3.199267137797384e-07,0.57,0.021230930294841528
200,1.6297508346206433e-08,0.5815,0.01686746010929346
240,0.0007924828983539186,0.7416666666666666,0.01056235918775201
280,1.0974987654930568e-05,0.780357142857143,0.008723955771752766
320,1.917910261672489e-05,0.8040625,0.00722979218699038
360,7.054802310718646e-05,0.8322222222222223,0.005787118946512539
400,1.3530477745798075e-08,0.8345000000000001,0.005045441597700119